index,axis-0,axis-1
,1.57E+03,1.13E+03
,1.33E+03,3.02E+03
,1.50E+03,3.02E+03
,1.69E+03,3.03E+03
,2.08E+03,3.01E+03
,2.27E+03,3.03E+03
,2.35E+03,3.09E+03
,2.35E+03,3.24E+03
,2.40E+03,3.37E+03
,2.49E+03,3.44E+03
,2.54E+03,3.68E+03
,2.57E+03,3.80E+03
,2.65E+03,3.90E+03
,2.74E+03,4.04E+03
,2.88E+03,4.21E+03
,2.96E+03,4.30E+03
,3.02E+03,4.40E+03
,3.11E+03,4.61E+03
,3.21E+03,4.78E+03
,3.28E+03,4.92E+03
,3.38E+03,5.10E+03
,3.49E+03,5.26E+03
,3.59E+03,5.45E+03
,3.66E+03,5.50E+03
,3.75E+03,5.64E+03
,3.88E+03,5.77E+03
,4.03E+03,5.87E+03
,4.24E+03,5.97E+03
,4.41E+03,6.06E+03
,4.57E+03,6.10E+03
,4.72E+03,6.15E+03
,4.83E+03,6.15E+03
,4.93E+03,6.17E+03
,5.08E+03,6.17E+03
,5.19E+03,6.12E+03
,5.28E+03,6.03E+03
,5.31E+03,6.02E+03
,5.36E+03,6.06E+03
,5.45E+03,6.06E+03
,5.51E+03,6.03E+03
,5.51E+03,5.97E+03
,5.58E+03,6.04E+03
,5.75E+03,6.16E+03
,5.87E+03,6.25E+03
,5.94E+03,6.27E+03
,6.08E+03,6.32E+03
,6.17E+03,6.35E+03
,6.26E+03,6.43E+03
,6.31E+03,6.44E+03
,6.67E+03,6.43E+03
,6.82E+03,6.36E+03
,6.91E+03,6.34E+03
,7.01E+03,6.29E+03
,7.12E+03,6.25E+03
,7.20E+03,6.29E+03
,7.31E+03,6.35E+03
,7.44E+03,6.40E+03
,7.54E+03,6.43E+03
,7.63E+03,6.45E+03
,7.82E+03,6.43E+03
,7.98E+03,6.40E+03
,8.12E+03,6.37E+03
,8.29E+03,6.30E+03
,8.47E+03,6.22E+03
,8.54E+03,6.18E+03
,8.68E+03,6.06E+03
,8.81E+03,5.94E+03
,8.90E+03,5.86E+03
,9.00E+03,5.76E+03
,9.08E+03,5.67E+03
,9.13E+03,5.56E+03
,9.11E+03,5.69E+03
,9.08E+03,5.85E+03
,9.05E+03,5.96E+03
,8.98E+03,6.07E+03
,8.93E+03,6.19E+03
,8.90E+03,6.27E+03
,8.86E+03,6.33E+03
,8.82E+03,6.41E+03
,8.80E+03,6.44E+03
,8.85E+03,6.53E+03
,8.93E+03,6.60E+03
,9.04E+03,6.68E+03
,9.14E+03,6.72E+03
,9.22E+03,6.74E+03
,9.34E+03,6.76E+03
,9.51E+03,6.78E+03
,9.82E+03,6.78E+03
,1.00E+04,6.74E+03
,1.02E+04,6.67E+03
,1.03E+04,6.63E+03
,1.03E+04,6.66E+03
,1.04E+04,6.67E+03
,1.06E+04,6.64E+03
,1.07E+04,6.61E+03
,1.09E+04,6.54E+03
,1.10E+04,6.46E+03
,1.12E+04,6.41E+03
,1.14E+04,6.34E+03
,1.15E+04,6.28E+03
,1.16E+04,6.23E+03
,1.18E+04,6.16E+03
,1.19E+04,6.09E+03
,1.21E+04,5.99E+03
,1.23E+04,5.87E+03
,1.25E+04,5.77E+03
,1.27E+04,5.68E+03
,1.29E+04,5.59E+03
,1.31E+04,5.46E+03
,1.33E+04,5.42E+03
,1.35E+04,5.36E+03
,1.37E+04,5.26E+03
,1.38E+04,5.18E+03
,1.39E+04,5.13E+03
,1.40E+04,5.05E+03
,1.42E+04,4.98E+03
,1.42E+04,4.90E+03
,1.44E+04,4.86E+03
,1.45E+04,4.79E+03
,1.46E+04,4.73E+03
,1.46E+04,4.58E+03
,1.47E+04,4.45E+03
,1.48E+04,4.38E+03
,1.49E+04,4.33E+03
,1.50E+04,4.23E+03
,1.51E+04,4.14E+03
,1.52E+04,4.06E+03
,1.53E+04,3.99E+03
,1.54E+04,3.93E+03
,1.55E+04,3.83E+03
,1.56E+04,3.73E+03
,1.56E+04,3.59E+03
,1.56E+04,3.47E+03
,1.55E+04,3.37E+03
,1.56E+04,3.43E+03
,1.56E+04,3.46E+03
,1.57E+04,3.48E+03
,1.57E+04,3.43E+03
,1.58E+04,3.55E+03
,1.59E+04,3.65E+03
,1.60E+04,3.74E+03
,1.61E+04,3.83E+03
,1.63E+04,3.87E+03
,1.64E+04,3.88E+03
,1.65E+04,3.85E+03
,1.66E+04,3.84E+03
,1.68E+04,3.78E+03
,1.69E+04,3.71E+03
,1.70E+04,3.64E+03
,1.72E+04,3.55E+03
,1.73E+04,3.49E+03
,1.73E+04,3.43E+03
,1.74E+04,3.38E+03
,1.76E+04,3.31E+03
,1.78E+04,3.20E+03
,1.79E+04,3.02E+03
,1.80E+04,2.83E+03
,1.79E+04,2.40E+03
,1.79E+04,2.35E+03
,1.73E+04,1.68E+03
,1.69E+04,1.38E+03
,1.63E+04,1.12E+03
,1.58E+04,1.01E+03
,1.49E+04,7.22E+02
,1.48E+04,7.14E+02
,1.47E+04,7.70E+02
,1.46E+04,8.32E+02
,1.46E+04,8.51E+02
,1.44E+04,7.54E+02
,1.41E+04,6.61E+02
,1.40E+04,6.61E+02
,1.38E+04,7.06E+02
,1.37E+04,7.36E+02
,1.36E+04,8.21E+02
,1.36E+04,7.54E+02
,1.35E+04,6.68E+02
,1.35E+04,5.86E+02
,1.34E+04,5.53E+02
,1.32E+04,5.35E+02
,1.31E+04,5.03E+02
,1.30E+04,4.65E+02
,1.30E+04,4.71E+02
,1.29E+04,4.92E+02
,1.28E+04,4.56E+02
,1.27E+04,3.89E+02
,1.26E+04,3.44E+02
,1.25E+04,3.41E+02
,1.24E+04,3.48E+02
,1.23E+04,3.44E+02
,1.21E+04,3.30E+02
,1.20E+04,3.69E+02
,1.20E+04,3.53E+02
,1.19E+04,3.18E+02
,1.09E+04,1.49E+02
,1.08E+04,1.60E+02
,1.08E+04,1.60E+02
,1.06E+04,-2.15E+01
,1.05E+04,-8.30E+01
,1.03E+04,-1.53E+02
,1.02E+04,-1.93E+02
,9.93E+03,-2.21E+02
,9.74E+03,-2.28E+02
,9.60E+03,-2.30E+02
,9.48E+03,-2.28E+02
,9.44E+03,-1.97E+02
,9.43E+03,-1.29E+02
,9.38E+03,-1.38E+02
,9.33E+03,-1.84E+02
,9.25E+03,-1.64E+02
,9.21E+03,-1.20E+02
,9.22E+03,-4.79E+01
,9.23E+03,2.01E+01
,9.18E+03,7.93E+01
,9.04E+03,1.54E+02
,8.93E+03,1.10E+02
,8.88E+03,1.08E+02
,8.80E+03,1.67E+02
,8.63E+03,6.41E+02
,8.53E+03,7.35E+02
