index,axis-0,axis-1
0.0,339.74489115474535,3656.5364920342
1.0,361.2033000132902,3857.465229527847
2.0,396.31705996363627,4033.034029279577
3.0,484.1014598395015,4243.716588981654
4.0,575.7873885987385,4393.925450991468
5.0,673.3256106830331,4530.478961909481
6.0,757.2084816755266,4659.2294150607495
7.0,778.6668905340714,4713.850819427955
8.0,819.6329438094751,4758.71840158673
9.0,860.598997084879,4776.275281561902
10.0,956.1864547274877,4899.173441388114
11.0,1034.2170323949233,5012.317779005896
12.0,1120.0506678291026,5131.314409948735
13.0,1190.734518179479,5226.410366394123
14.0,1255.1097447551133,5323.948588478418
15.0,1303.8788557972607,5400.028401704169
16.0,1313.6326780056902,5456.600570513058
17.0,1327.2880290974913,5519.025032647007
18.0,1340.9433801892928,5550.2372637139815
19.0,1383.8601979063824,5550.2372637139815
20.0,1430.678544506844,5515.123503763635
21.0,1467.743068898876,5532.680383738808
22.0,1457.9892466904464,5577.547965897584
23.0,1489.2014777574207,5624.366312498044
24.0,1592.591993166773,5626.31707693973
25.0,1678.4256286009522,5643.873956914903
26.0,1807.1760817522215,5641.9231924732185
27.0,1914.4681260449454,5608.760196964558
28.0,1988.5971748290094,5638.021663589846
29.0,2068.5785169381306,5692.643067957051
30.0,2158.3136812556822,5694.593832398737
31.0,2249.999610014919,5737.510650115826
32.0,2357.291654307643,5729.707592349083
33.0,2392.405414257989,5796.033583366403
34.0,2396.306943141361,5817.491992224948
35.0,2497.7466941090274,5864.310338825409
36.0,2552.3680984762323,5874.064161033839
37.0,2519.205102967572,5959.897796468018
38.0,2519.205102967572,6035.9776096937685
39.0,2556.2696273596043,6100.352836269403
40.0,2601.1372095183797,6145.220418428178
41.0,2626.4971472602965,6178.383413936839
42.0,2601.1372095183797,6273.970871579448
43.0,2618.6940894935533,6383.213680313857
44.0,2581.6295651015207,6496.35801793164
45.0,2536.761982942746,6562.684008948961
46.0,2452.879111950252,6669.976053241684
47.0,2409.962294233162,6734.351279817318
48.0,2355.3408898659573,6827.987973018242
49.0,2404.1100009081047,6847.495617435101
50.0,2486.042107458912,6847.495617435101
51.0,2564.072685126348,6870.904790735331
52.0,2636.250969468726,6952.836897286139
53.0,2688.921609394245,6995.753715003228
54.0,2763.050658178309,7038.670532720318
55.0,2856.6873513792316,7064.030470462234
56.0,2921.0625779548664,7104.996523737638
57.0,3365.8368706592505,7194.73168805519
58.0,3512.1442037856923,7200.583981380248
59.0,3654.550008028763,7204.485510263619
60.0,3767.6943456465447,7188.879394730133
61.0,3898.3955632394996,7173.2732791966455
62.0,4025.1952519490824,7142.061048129671
63.0,4111.0288873832615,7106.9472881793245
64.0,4247.582398301274,7060.128941578863
65.0,4323.662211527024,7026.965946070203
66.0,4393.889731427716,7025.015181628518
67.0,4423.151198053004,7032.818239395261
68.0,4510.93559792887,7009.40906609503
69.0,4622.129171104965,6997.704479444914
70.0,4858.171668548959,6960.639955052881
