Gene,x,y
Cxcl14,110,5457
Plp1,-1,4735
Plp1,-1,4725
Id2,-1,4478
Enpp2,-1,4455
Plp1,-1,4445
Aldoc,-1,4273
Enpp2,0,4741
Plp1,0,4517
Id2,0,4484
Cryab,0,4471
Plp1,0,4451
Plp1,1,4743
Plp1,1,4730
Rgs4,2,4564
Sulf2,2,4453
Plp1,2,4445
Id2,2,4262
Plp1,3,4508
Enpp2,4,4457
Cryab,4,4450
Fam19a1,4,4253
Plp1,4,4217
Plp1,4,4199
Plp1,5,4728
Plp1,5,4715
Plp1,5,4467
Rorb,5,4322
Id2,5,4294
Cxcl14,6,4484
Gad1,6,4329
Id2,6,4284
Enpp2,7,4722
Enpp2,7,4503
Plp1,7,4496
Plp1,7,4449
Plp1,7,4440
Id2,7,4264
Plp1,8,4719
Plp1,8,4460
Plp1,8,4443
Gad1,8,4356
6330403K07Rik,8,4336
Plp1,9,4728
Plp1,9,4456
Enpp2,9,4445
Plcxd2,9,4261
Plp1,10,4469
Gad1,10,4352
Plp1,11,4500
Plp1,11,4459
Enpp2,11,4451
Plp1,12,4728
Slc6a1,12,4561
Satb1,12,4293
Id2,12,4285
Plp1,13,4512
Plp1,13,4496
Fos,13,4265
Enpp2,14,4505
Neurod6,15,4715
3110035E14Rik,15,4591
Id2,15,4336
Zcchc12,15,4304
3110035E14Rik,16,4588
3110035E14Rik,17,4591
Plp1,17,4501
Plp1,18,4715
Plp1,18,4504
Aldoc,18,4321
Plp1,19,4714
Plp1,20,4718
Plp1,20,4637
Plp1,21,4721
Id2,22,4210
Rprm,23,4257
Cryab,24,4728
Plp1,24,4505
Plp1,24,4295
Plp1,25,4643
Cryab,25,4426
Plp1,26,4635
Plp1,26,4508
Plp1,27,4716
Plp1,27,4498
Cplx2,27,4213
Kctd12,28,4721
Cryab,28,4507
Cck,28,4139
Plp1,29,4642
Enpp2,29,4551
6330403K07Rik,30,4860
6330403K07Rik,30,4729
Id2,30,4559
Plp1,30,4503
Aldoc,30,4477
Plp1,30,4161
Plp1,31,4631
Plp1,31,4622
Plp1,31,4423
Pvalb,31,4190
Plp1,32,4556
Cryab,32,4507
Plp1,32,4449
Cryab,32,4261
Plp1,33,4639
Plp1,33,4545
Plp1,33,4159
Plp1,33,4157
Plp1,34,4640
Plp1,34,4624
Enpp2,34,4539
Plp1,34,4274
Id2,34,4185
Fam19a1,34,4176
Enpp2,35,4712
Plp1,35,4419
Plp1,35,4277
Id2,35,4217
Plp1,36,4722
Pde1a,36,4645
Plp1,36,4642
Plp1,36,4546
Id2,36,4207
Id2,36,4188
Plp1,37,4713
Plp1,37,4644
Plp1,37,4639
Enpp2,37,4594
Pvalb,37,4510
Plp1,38,4717
Plp1,38,4634
Id2,38,4554
Plp1,39,4545
Plp1,40,4713
Plp1,40,4640
Enpp2,40,4550
Plp1,40,4288
Plp1,40,4276
Cryab,41,4700
Plp1,41,4628
Cryab,41,4483
Plp1,41,4418
Plp1,41,4357
3110035E14Rik,41,4219
Plp1,42,4638
Cpne5,42,4591
Arpp21,42,4460
Plp1,42,4275
Plp1,43,4635
Plp1,43,4420
3110035E14Rik,43,4216
Plp1,43,4198
Plp1,44,5065
Plp1,44,5031
Plp1,44,4556
Plp1,44,4542
Plp1,44,4483
Plp1,44,4203
Plp1,44,4193
Plp1,45,5024
Plp1,45,4939
Kctd12,45,4278
Cck,45,4219
Plp1,45,4213
Plp1,45,4207
Plp1,45,4050
Cpne5,46,4587
Plp1,46,4549
Plp1,46,4208
Cryab,47,4987
Plp1,47,4926
Plp1,47,4422
Plp1,47,4413
Enpp2,47,4188
Enpp2,48,5055
Enpp2,48,4589
