Gene,x,y
Cxcl14,110,14
Plp1,-1,736
Plp1,-1,746
Id2,-1,993
Enpp2,-1,1016
Plp1,-1,1026
Aldoc,-1,1198
Enpp2,0,730
Plp1,0,954
Id2,0,987
Cryab,0,1000
Plp1,0,1020
Plp1,1,728
Plp1,1,741
Rgs4,2,907
Sulf2,2,1018
Plp1,2,1026
Id2,2,1209
Plp1,3,963
Enpp2,4,1014
Cryab,4,1021
Fam19a1,4,1218
Plp1,4,1254
Plp1,4,1272
Plp1,5,743
Plp1,5,756
Plp1,5,1004
Rorb,5,1149
Id2,5,1177
Cxcl14,6,987
Gad1,6,1142
Id2,6,1187
Enpp2,7,749
Enpp2,7,968
Plp1,7,975
Plp1,7,1022
Plp1,7,1031
Id2,7,1207
Plp1,8,752
Plp1,8,1011
Plp1,8,1028
Gad1,8,1115
6330403K07Rik,8,1135
Plp1,9,743
Plp1,9,1015
Enpp2,9,1026
Plcxd2,9,1210
Plp1,10,1002
Gad1,10,1119
Plp1,11,971
Plp1,11,1012
Enpp2,11,1020
Plp1,12,743
Slc6a1,12,910
Satb1,12,1178
Id2,12,1186
Plp1,13,959
Plp1,13,975
Fos,13,1206
Enpp2,14,966
Neurod6,15,756
3110035E14Rik,15,880
Id2,15,1135
Zcchc12,15,1167
3110035E14Rik,16,883
3110035E14Rik,17,880
Plp1,17,970
Plp1,18,756
Plp1,18,967
Aldoc,18,1150
Plp1,19,757
Plp1,20,753
Plp1,20,834
Plp1,21,750
Id2,22,1261
Rprm,23,1214
Cryab,24,743
Plp1,24,966
Plp1,24,1176
Plp1,25,828
Cryab,25,1045
Plp1,26,836
Plp1,26,963
Plp1,27,755
Plp1,27,973
Cplx2,27,1258
Kctd12,28,750
Cryab,28,964
Cck,28,1332
Plp1,29,829
Enpp2,29,920
6330403K07Rik,30,611
6330403K07Rik,30,742
Id2,30,912
Plp1,30,968
Aldoc,30,994
Plp1,30,1310
Plp1,31,840
Plp1,31,849
Plp1,31,1048
Pvalb,31,1281
Plp1,32,915
Cryab,32,964
Plp1,32,1022
Cryab,32,1210
Plp1,33,832
Plp1,33,926
Plp1,33,1312
Plp1,33,1314
Plp1,34,831
Plp1,34,847
Enpp2,34,932
Plp1,34,1197
Id2,34,1286
Fam19a1,34,1295
Enpp2,35,759
Plp1,35,1052
Plp1,35,1194
Id2,35,1254
Plp1,36,749
Pde1a,36,826
Plp1,36,829
Plp1,36,925
Id2,36,1264
Id2,36,1283
Plp1,37,758
Plp1,37,827
Plp1,37,832
Enpp2,37,877
Pvalb,37,961
Plp1,38,754
Plp1,38,837
Id2,38,917
Plp1,39,926
Plp1,40,758
Plp1,40,831
Enpp2,40,921
Plp1,40,1183
Plp1,40,1195
Cryab,41,771
Plp1,41,843
Cryab,41,988
Plp1,41,1053
Plp1,41,1114
3110035E14Rik,41,1252
Plp1,42,833
Cpne5,42,880
Arpp21,42,1011
Plp1,42,1196
Plp1,43,836
Plp1,43,1051
3110035E14Rik,43,1255
Plp1,43,1273
Plp1,44,406
Plp1,44,440
Plp1,44,915
Plp1,44,929
Plp1,44,988
Plp1,44,1268
Plp1,44,1278
Plp1,45,447
Plp1,45,532
Kctd12,45,1193
Cck,45,1252
Plp1,45,1258
Plp1,45,1264
Plp1,45,1421
Cpne5,46,884
Plp1,46,922
Plp1,46,1263
Cryab,47,484
Plp1,47,545
Plp1,47,1049
Plp1,47,1058
Enpp2,47,1283
Enpp2,48,416
Enpp2,48,882
